"Class","duration","earliestStart","majorityEvent","eventCount","activeDimensionCount","density","normalizedDensity","maxConcurrentEventCount","maxConcurrentEventDuration","normalizedMaxConcurrentEventDuration","summedPauseTime","normalizedSummedPauseTime","atLeastOneActiveTime","normalizedAtLeastOneActiveTime","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","distance_V1","distance_V2","distance_V3","distance_V4","distance_V5","distance_V6","distance_V7","distance_V8"
"8",106,1,1,8,6,184,1.73584905660377,3,15,0.141509433962264,2,0.0188679245283019,104,0.981132075471698,0,0,0,1,1,0,0,0,0,2,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,17.8885438199983,16.5529453572468,17.058722109232,15.3622914957372,17.4068951855292,19.94993734326,18.8944436276912,5
"1",33,1,3,3,3,42,1.27272727272727,2,11,0.333333333333333,1,0.0303030303030303,32,0.96969696969697,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3166247903554,12.6095202129185,11.8321595661992,13.7477270848675,16.5529453572468,11.5325625946708,16.5529453572468,17.8885438199983
"4",47,1,2,5,5,66,1.40425531914894,2,12,0.25531914893617,1,0.0212765957446809,46,0.978723404255319,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.7113092008021,11.3137084989848,13.228756555323,6.16441400296898,15.4596248337403,17.3781471969828,17.2916164657906,15.1327459504216
"8",106,1,1,8,6,187,1.76415094339623,3,13,0.122641509433962,1,0.00943396226415094,105,0.990566037735849,0,0,0,1,1,0,0,0,0,2,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,17.7763888346312,16.431676725155,16.9410743460974,15.4272486205415,17.1755640373177,20,18.7349939951952,4.79583152331272
"4",49,1,2,5,5,66,1.3469387755102,2,12,0.244897959183673,2,0.0408163265306122,47,0.959183673469388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.5646599662505,11.8321595661992,13.076696830622,5.65685424949238,15.8429795177549,17.2626765016321,17.1172427686237,15.1986841535707
"5",33,1,1,6,5,73,2.21212121212121,3,11,0.333333333333333,0,0,33,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16.3401346383682,11.2694276695846,17.3205080756888,16.1554944214035,5.09901951359278,13.8202749610853,20.591260281974,17.4928556845359
"8",114,1,1,8,6,206,1.80701754385965,3,17,0.149122807017544,2,0.0175438596491228,112,0.982456140350877,0,0,0,1,1,0,0,0,0,2,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,17.9722007556114,16.6433169770932,17.1464281994822,15.3948043183407,17.4355957741627,20.0249843945008,18.8148877222268,5.65685424949238
"3",56,1,2,5,5,70,1.25,2,9,0.160714285714286,2,0.0357142857142857,54,0.964285714285714,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,11.7898261225516,13.1529464379659,3.16227766016838,12.6885775404495,16.9705627484771,16.1554944214035,16.2480768092719,16.7928556237467
"6",31,1,1,6,5,69,2.2258064516129,3,12,0.387096774193548,1,0.032258064516129,30,0.967741935483871,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0453610171873,16.3707055437449,15.52417469626,17.3205080756888,14.8660687473185,4.24264068711928,18.2482875908947,19.9248588451713
"6",28,1,1,6,5,63,2.25,3,11,0.392857142857143,0,0,28,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2694276695846,16.2172747402269,15.8745078663875,17.2916164657906,14.422205101856,4.12310562561766,18.6547581061776,19.7989898732233
"3",60,1,2,5,5,79,1.31666666666667,2,12,0.2,2,0.0333333333333333,58,0.966666666666667,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,11.5758369027902,13.4164078649987,3.3166247903554,12.8840987267251,17.1755640373177,16,16.2788205960997,17
"8",109,1,1,8,6,194,1.77981651376147,3,12,0.110091743119266,1,0.00917431192660551,108,0.990825688073395,0,0,0,1,1,0,0,0,0,2,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,17.832554500127,16.6132477258361,17,15.1657508881031,17.1172427686237,19.8494332412792,18.7882942280559,6.2449979983984
"4",52,1,2,5,5,70,1.34615384615385,2,11,0.211538461538462,2,0.0384615384615385,50,0.961538461538462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.856406460551,11.3137084989848,13.076696830622,5.65685424949238,15.4596248337403,17.4928556845359,17.3493515728975,15
