"Class","duration","earliestStart","majorityEvent","eventCount","activeDimensionCount","density","normalizedDensity","maxConcurrentEventCount","maxConcurrentEventDuration","normalizedMaxConcurrentEventDuration","summedPauseTime","normalizedSummedPauseTime","atLeastOneActiveTime","normalizedAtLeastOneActiveTime","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","distance_V1","distance_V2","distance_V3","distance_V4","distance_V5"
"1",249,1,49,81,44,7137,28.6626506024096,29,44,0.176706827309237,0,0,249,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21.9772609758359,29.6141857899217,33.6154726279432,37.1618083521241,38.5356977359954
"1",242,1,49,79,45,6939,28.6735537190083,29,29,0.119834710743802,0,0,242,1,2,2,2,3,2,2,2,2,4,2,2,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,20.6881608655772,28.3901391331568,32.6955654485436,36.7423461417477,37.9473319220206
"1",246,1,51,75,42,7059,28.6951219512195,29,40,0.16260162601626,0,0,246,1,4,2,2,3,2,4,2,2,2,1,2,1,2,1,1,2,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,24.0624188310319,32.2645316098034,35.0998575495685,37.9605057922046,39.4334883062607
"1",240,1,51,87,45,6873,28.6375,29,48,0.2,0,0,240,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22.1585198061603,32.2024843762092,37.9209704517171,39.8873413503583,42.154477816716
"2",210,1,49,73,42,6017,28.652380952381,29,44,0.20952380952381,0,0,210,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31.859064644148,22.248595461287,30.199337741083,31.5753068076939,35.1710107901379
"2",205,1,49,71,42,5874,28.6536585365854,29,36,0.175609756097561,0,0,205,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31.4801524773944,22.6936114358204,26.5329983228432,29.6479341607472,32.1714158842908
"2",205,1,51,75,42,5870,28.6341463414634,29,18,0.0878048780487805,0,0,205,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31.4960314960472,21.5870331449229,26.5894716006167,32.6190128606002,32
"2",199,1,49,71,40,5700,28.643216080402,29,28,0.14070351758794,0,0,199,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30.5286750449475,22.0907220343745,25.3968501984006,30.2324329156619,32.124756808418
"2",193,1,49,77,44,5520,28.6010362694301,29,25,0.129533678756477,0,0,193,1,2,3,1,1,1,2,3,1,2,2,1,1,2,3,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32.1403173599764,25.6320112359526,30.1662062579967,32.5729949498047,35.4259791678367
"2",195,1,49,72,44,5583,28.6307692307692,29,24,0.123076923076923,0,0,195,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30.5614135798723,22.5388553391693,27.0370116691915,32.5576411921994,31.6543835826888
"2",203,1,49,66,42,5821,28.6748768472906,29,30,0.147783251231527,0,0,203,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29.5465734053883,22.248595461287,30.2324329156619,32.6036807738022,35.7071421427142
"2",214,1,49,74,43,6132,28.6542056074766,29,31,0.144859813084112,0,0,214,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29.0516780926679,20.8806130178211,28.5482048472404,32.4961536185438,33.3466640010661
"2",212,1,51,78,43,6070,28.6320754716981,29,19,0.089622641509434,0,0,212,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31.1126983722081,22.3159136044214,27.6586333718787,34.0293990543471,31.4006369362152
"3",199,1,13,85,44,5686,28.572864321608,29,30,0.150753768844221,0,0,199,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33.4065861769801,26.343879744639,21.095023109729,26.7581763205193,26.8328157299975
"3",223,1,13,101,40,6366,28.5470852017937,29,32,0.143497757847534,0,0,223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,6,5,5,6,6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33.9705755029261,32.5883414736007,25.2784493195291,25.8456959666402,24.2899156029822
"3",200,1,14,96,41,5704,28.52,29,30,0.15,0,0,200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35.5949434611154,32.1091887160046,23.5796522451032,28.7923600977759,25.9036676939772
"3",204,1,13,101,42,5815,28.5049019607843,29,28,0.137254901960784,0,0,204,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,2,1,1,2,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37.0540146272978,32.0156211871642,24.1246761636296,28.5131548587665,25.0399680510978
"4",100,1,2,60,39,2840,28.4,29,14,0.14,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.8976081352959,39.7617907041421,33.5261092284804,25.7099202643649,33.4215499341368
"4",107,1,13,79,40,3024,28.2616822429907,29,18,0.168224299065421,0,0,107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.1624837098145,38.9486841883009,31.4006369362152,23.7276210354093,31.0322412983658
"4",100,1,13,60,37,2840,28.4,29,22,0.22,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.8289113251872,35.0570962859162,26.6458251889485,22.8691932520585,25.7875939164553
"4",105,1,2,57,39,2988,28.4571428571429,29,21,0.2,0,0,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.7040049607273,33.3766385365573,31.224989991992,22.6274169979695,30.9838667696593
"5",208,1,13,89,38,5943,28.5721153846154,29,30,0.144230769230769,0,0,208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,34.0734500748016,21.6794833886788,25.9036676939772,21.4709105535839
"5",204,1,13,108,38,5808,28.4705882352941,29,29,0.142156862745098,0,0,204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.9077828420497,34.8855270850248,25.0199920063936,27.4772633280682,21.8860686282393
"5",276,1,14,136,39,7868,28.5072463768116,29,31,0.11231884057971,0,0,276,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.6533311993171,39.585350825779,31.3687742827162,32.9393381840012,27.6586333718787
