"Class","duration","earliestStart","majorityEvent","eventCount","activeDimensionCount","density","normalizedDensity","maxConcurrentEventCount","maxConcurrentEventDuration","normalizedMaxConcurrentEventDuration","summedPauseTime","normalizedSummedPauseTime","atLeastOneActiveTime","normalizedAtLeastOneActiveTime","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","distance_V1","distance_V2","distance_V3","distance_V4","distance_V5","distance_V6"
"1",1841,1,2,40,28,25732,13.9771863117871,14,504,0.273764258555133,0,0,1841,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,93.4772699644143,122.556109598828,164.55090397807,155.061278209616,121.012396059247,117.894020204589
"1",1903,1,16,42,27,26546,13.9495533368366,14,579,0.304256437204414,0,0,1903,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,2,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,3,0,1,0,0,0,1,0,1,1,0,91.804139340228,119.540788018149,160.82599292403,157.378524583248,107.953693776545,117.401022142058
"1",1815,1,10,42,28,25338,13.9603305785124,14,452,0.249035812672176,0,0,1815,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,2,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,2,0,1,0,0,0,0,1,1,1,0,99.3529063490344,129.25556080881,167.809415707224,157.318148984788,124.991999743984,121.045446010992
"1",1738,1,22,31,22,24064,13.8457997698504,14,484,0.278481012658228,0,0,1738,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,69.5701085237043,114.394055789626,151.871656341794,154.693244842818,118.676029593174,108.770400385399
"1",3675,1,16,69,30,51322,13.9651700680272,14,597,0.162448979591837,0,0,3675,1,0,0,1,0,1,4,0,2,1,1,1,2,1,1,2,2,3,2,1,3,0,1,0,3,1,0,0,0,2,0,0,1,1,1,3,2,4,0,0,0,0,1,2,1,1,2,3,0,2,2,0,1,3,2,2,0,1,0,1,1,2,0,0,0,5,0,2,1,0,0,0,1,4,1,0,188.042548376691,178.963683466786,222.042788669211,224.356858598083,192.072902825984,173.09246084102
"1",1859,1,12,42,27,25974,13.972027972028,14,594,0.319526627218935,0,0,1859,1,0,0,1,0,1,2,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,2,1,1,0,0,1,0,0,1,1,1,1,1,2,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,3,0,2,0,0,0,0,0,1,1,0,96.5142476528725,121.987704298425,163.713163795707,166.231765917348,116.69190203266,118.17783210061
"1",1898,1,12,39,26,26533,13.9794520547945,14,527,0.277660695468915,0,0,1898,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,94.3927963353136,126.419935136829,163.263590552211,162.560757872249,130.927460832325,123.858790564094
"1",1776,1,10,47,32,24747,13.9341216216216,14,463,0.260698198198198,0,0,1776,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,112.809574061779,142.800560222991,170.408333129574,172.927730569738,137.528178930719,136.685771022444
"1",1739,1,16,40,27,24287,13.9660724554342,14,495,0.284646348476136,0,0,1739,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,2,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,92.1520482680662,121.523660247707,161.266859583735,163.865798750075,126.031742033505,119.895788082818
"1",1749,1,16,40,27,24385,13.9422527158376,14,557,0.318467695826186,0,0,1749,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,1,1,0,95.9947915253739,134.866600757934,168.564527703785,164.751327763997,132.969921410821,129.274900889538
"1",1501,1,12,42,26,20960,13.9640239840107,14,502,0.334443704197202,0,0,1501,1,0,0,1,0,0,2,0,1,1,1,0,0,1,1,2,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,1,2,0,0,0,0,0,1,0,0,1,2,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,100.821624664553,141.184276744969,171.254197028861,175.274071100092,138.683091975915,131.780119896743
"1",1495,1,16,36,24,20766,13.8903010033445,14,406,0.271571906354515,0,0,1495,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,3,0,1,0,0,0,0,0,1,1,0,86.9597608092387,129.815253341046,163.978657147813,162.622261698699,127.161314872095,122.249744376011
