"Class","duration","earliestStart","majorityEvent","eventCount","activeDimensionCount","density","normalizedDensity","maxConcurrentEventCount","maxConcurrentEventDuration","normalizedMaxConcurrentEventDuration","summedPauseTime","normalizedSummedPauseTime","atLeastOneActiveTime","normalizedAtLeastOneActiveTime","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","distance_V1","distance_V2","distance_V3","distance_V4","distance_V5","distance_V6","distance_V7","distance_V8"
"8",114,1,1,8,6,206,1.80701754385965,3,17,0.149122807017544,2,0.0175438596491228,112,0.982456140350877,0,1,0,0,1,2,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,17.9722007556114,16.6433169770932,17.1464281994822,14.9331845230681,17.4355957741627,19.9248588451713,18.8148877222268,4.47213595499958
"7",84,1,1,8,5,142,1.69047619047619,3,9,0.107142857142857,0,0,84,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,17.4928556845359,17.5499287747842,16.3401346383682,17.606816861659,20.0249843945008,18.9208879284245,9.32737905308882,17.6918060129541
"3",56,1,2,5,5,70,1.25,2,9,0.160714285714286,2,0.0357142857142857,54,0.964285714285714,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,11.7898261225516,13.1529464379659,3.16227766016838,12.7671453348037,16.9705627484771,15.8429795177549,16.2480768092719,16.6733320005331
"4",49,1,2,5,5,66,1.3469387755102,2,12,0.244897959183673,2,0.0408163265306122,47,0.959183673469388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5646599662505,11.8321595661992,13.076696830622,4,15.8429795177549,17.2046505340853,17.1172427686237,15.0665191733194
"8",115,1,1,8,6,205,1.78260869565217,3,14,0.121739130434783,2,0.0173913043478261,113,0.982608695652174,0,1,0,0,1,2,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,17.7763888346312,16.3095064303001,16.9410743460974,15.1657508881031,16.8819430161341,20,18.9472953214964,3.87298334620742
"8",103,1,1,8,6,181,1.75728155339806,3,12,0.116504854368932,2,0.0194174757281553,101,0.980582524271845,0,1,0,0,1,2,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,17.6918060129541,16.3401346383682,16.8522995463527,14.9331845230681,16.9705627484771,19.8746069143518,18.8679622641132,0
"6",28,1,1,6,5,60,2.14285714285714,3,8,0.285714285714286,0,0,28,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.5325625946708,16.583123951777,16,17.3493515728975,14.8323969741913,5.56776436283002,18.2756668824971,19.7484176581315
"8",109,1,1,8,6,194,1.77981651376147,3,12,0.110091743119266,1,0.00917431192660551,108,0.990825688073395,0,1,0,0,1,2,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,17.832554500127,16.6132477258361,17,14.9666295470958,17.1172427686237,19.7484176581315,18.7882942280559,5.19615242270663
"8",112,1,1,8,6,197,1.75892857142857,3,12,0.107142857142857,1,0.00892857142857143,111,0.991071428571429,0,1,0,0,1,2,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9722007556114,16.5227116418583,17.1464281994822,15.3297097167559,16.9115345252878,19.7737199332852,19.4935886896179,6.16441400296898
"6",28,1,1,6,5,63,2.25,3,11,0.392857142857143,0,0,28,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.2694276695846,16.2172747402269,15.8745078663875,17.1755640373177,14.422205101856,5,18.6547581061776,19.7484176581315
