"Class","duration","earliestStart","majorityEvent","eventCount","activeDimensionCount","density","normalizedDensity","maxConcurrentEventCount","maxConcurrentEventDuration","normalizedMaxConcurrentEventDuration","summedPauseTime","normalizedSummedPauseTime","atLeastOneActiveTime","normalizedAtLeastOneActiveTime","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","distance_V1","distance_V2","distance_V3","distance_V4","distance_V5","distance_V6","distance_V7","distance_V8"
"8",110,1,1,8,6,193,1.75454545454545,3,12,0.109090909090909,2,0.0181818181818182,108,0.981818181818182,0,0,1,0,1,0,1,1,0,0,0,2,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,17.8885438199983,16.5529453572468,17.058722109232,15.0996688705415,16.9410743460974,19.7989898732233,19.2093727122985,4.12310562561766
"5",31,1,1,6,5,67,2.16129032258065,3,10,0.32258064516129,0,0,31,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4620776331543,12.369316876853,16.7332005306815,14.456832294801,8.12403840463596,15.6524758424985,19.0262975904404,16.6733320005331
"3",59,1,2,5,5,75,1.27118644067797,2,10,0.169491525423729,2,0.0338983050847458,57,0.966101694915254,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10.816653826392,13.7477270848675,4.47213595499958,13.4536240470737,17.4355957741627,15.3297097167559,16.431676725155,17.1464281994822
"1",33,1,3,3,3,43,1.3030303030303,2,12,0.363636363636364,1,0.0303030303030303,32,0.96969696969697,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44948974278318,12.4899959967968,11.3578166916005,13.7113092008021,16.4620776331543,11.0453610171873,16.7032930884901,17.6918060129541
"5",32,1,1,6,5,71,2.21875,3,12,0.375,1,0.03125,31,0.96875,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,16.2788205960997,11.4455231422596,17.3781471969828,15.7162336455017,4.89897948556636,13.6747943311773,20.6397674405503,17.6635217326557
"4",46,1,2,5,5,60,1.30434782608696,2,11,0.239130434782609,1,0.0217391304347826,45,0.978260869565217,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,13.490737563232,10.6770782520313,12.8452325786651,6.32455532033676,15,17.1464281994822,17.2916164657906,15.5884572681199
"2",29,1,3,3,3,36,1.24137931034483,2,9,0.310344827586207,1,0.0344827586206897,28,0.96551724137931,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4899959967968,3.74165738677394,13.1529464379659,10.6770782520313,11.1803398874989,16.3707055437449,17.6351920885484,16.4012194668567
"2",35,1,3,3,3,44,1.25714285714286,2,11,0.314285714285714,1,0.0285714285714286,34,0.971428571428571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4899959967968,2,13.3790881602597,11.2249721603218,11,16.3707055437449,17.8044938147649,16.4012194668567
"3",59,1,2,5,5,76,1.28813559322034,2,10,0.169491525423729,2,0.0338983050847458,57,0.966101694915254,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11.7898261225516,13.3790881602597,2.82842712474619,13.076696830622,17.1464281994822,16.0312195418814,16.4924225024706,16.8522995463527
"2",30,1,3,3,3,35,1.16666666666667,2,7,0.233333333333333,1,0.0333333333333333,29,0.966666666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8452325786651,3.87298334620742,13.3416640641263,11.6189500386223,11.7473401244707,16.6433169770932,17.7763888346312,16.062378404209
