"Class","duration","earliestStart","majorityEvent","eventCount","activeDimensionCount","density","normalizedDensity","maxConcurrentEventCount","maxConcurrentEventDuration","normalizedMaxConcurrentEventDuration","summedPauseTime","normalizedSummedPauseTime","atLeastOneActiveTime","normalizedAtLeastOneActiveTime","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","distance_V1","distance_V2","distance_V3","distance_V4","distance_V5","distance_V6"
"1",1902,1,22,45,26,26458,13.9106203995794,14,459,0.241324921135647,0,0,1902,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,2,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,112.605506082074,126.368508735365,166.07227342335,169.35465744998,131.213566371774,121.63880959628
"1",1951,1,16,50,26,27172,13.9272168118913,14,313,0.160430548436699,0,0,1951,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,3,3,1,1,1,1,0,1,0,0,1,0,1,1,2,0,1,1,1,1,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,0,1,1,1,1,1,1,1,0,1,0,120.557040441444,124.237675445092,168.985206453109,169.301506195308,136.948895577876,131.240237732183
"1",1865,1,12,37,23,26069,13.9780160857909,14,583,0.312600536193029,0,0,1865,1,0,0,0,1,1,1,0,1,1,2,2,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,2,0,1,1,2,0,1,1,1,1,0,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,0,1,1,0,0,1,1,0,0,1,0,93.5788437628933,117.430830704717,166.484233487739,162.825059496381,115.325625946708,117.775209615606
"1",1916,1,22,44,30,26701,13.9358037578288,14,603,0.314718162839248,0,0,1916,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,2,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,102.567051239665,134.517656833592,167.511193655827,165.779974665217,134.703377834411,133.266649991661
"1",1697,1,19,33,26,23717,13.9758397171479,14,524,0.308780200353565,0,0,1697,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,85.7029754442633,113.604577372569,165.906600230371,161.00931650063,115.749730021283,119.260219687874
"1",1617,1,15,37,25,22588,13.9690785405071,14,452,0.279529993815708,0,0,1617,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,1,1,0,0,1,1,0,0,1,0,84.1605608346332,114.908659377786,162.354550290406,163.217646104825,122.131077126176,115.433963806152
"1",1622,1,16,38,25,22650,13.964241676942,14,570,0.351418002466091,0,0,1622,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,2,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,1,0,0,1,1,0,0,1,0,93.6482781475452,117.204948700983,157.448404247233,162.680668796265,122.208837650965,116.481758228488
"1",1681,1,12,37,26,23485,13.9708506841166,14,528,0.314098750743605,0,0,1681,1,0,0,0,1,1,1,0,1,1,3,2,1,1,2,1,1,0,2,0,1,0,2,0,1,0,0,0,1,1,1,0,0,0,0,3,0,1,1,1,0,1,2,1,1,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,94.5409963983879,118.857057005464,162.573060498965,163.13491349187,116.717607926139,113.762911355151
"2",3257,1,12,74,32,45299,13.9081977279705,14,362,0.111145225667792,0,0,3257,1,0,0,0,1,1,1,2,1,1,4,4,1,1,3,1,1,1,1,0,2,0,3,0,1,3,3,1,1,1,4,2,2,0,2,3,0,1,1,0,0,1,4,1,1,2,1,1,0,3,0,0,0,0,0,4,0,2,0,0,0,2,1,3,1,0,1,1,0,1,1,2,1,1,1,0,188.608059212749,189.562654549888,226.174711230058,223.915162505803,189.277573948949,179.824914847749
"2",3166,1,12,71,28,44017,13.9030322173089,14,326,0.102969046114972,0,0,3166,1,0,0,0,1,1,1,2,1,1,5,6,1,1,5,1,1,1,1,0,2,0,5,0,1,5,5,1,1,1,6,2,4,0,1,6,0,1,1,2,0,2,6,1,1,3,2,2,2,6,0,0,0,0,0,6,0,1,0,0,1,2,1,0,2,0,1,1,1,0,1,2,1,2,1,0,184.737651820088,185.340227689512,222.629737456612,218.382691621841,186.571702034365,172.82360949824
