dataset,populationSize,numGenerations,numFeatures,avgNumSize2ShapeletsInEvolved,tournamentSize,tournamentP,epsilon,evolvedRFAccuracy,exhaustiveRFAccuracy,avgEvolvedTime,avgExhaustiveTime
HEPATITIS,100,100,75,74.1,2,0.6,5,0.7692244897959184,0.0
HEPATITIS,100,100,75,74.1,2,0.7,5,0.7892653061224489,0.0
HEPATITIS,100,100,75,73.5,2,0.8,5,0.7830612244897959,0.0
HEPATITIS,100,100,75,74.3,2,0.9,5,0.7571836734693878,0.0
HEPATITIS,100,100,75,74.6,2,1.0,5,0.7489795918367348,0.0
//now new configuration!:
HEPATITIS,100,100,75,67.1,2,0.7,5,0.7448979591836735,0.0
HEPATITIS,100,1000,75,57.2,2,0.7,5,0.7488979591836735,0.0
HEPATITIS,500,200,75,71.9,2,0.7,5,0.8092653061224488,0.0
HEPATITIS,500,200,75,73.6,2,1.0,5,0.8051020408163264,0.0
HEPATITIS,100,100,75,73.0,2,1.0,5,0.7431020408163265,0.8271428571428572


AUSLAN2,500,200,75,68.2,2,1.0,5,0.45499999999999996,0.385
BLOCKS,500,200,75,69.4,2,1.0,5,1.0,1.0
CONTEXT,500,200,75,70.7,2,1.0,5,0.8291666666666666,0.6333333333333333
HEPATITIS,500,200,75,73.6,2,1.0,5,0.8051020408163264,0.8271428571428572
PIONEER,500,200,75,73.3,2,1.0,5,1.0,0.9375
SKATING,500,200,75,73.8,2,1.0,5,0.9471698113207548,0.9509433962264151
//with counting isntead of boolean features:
AUSLAN2,500,200,75,69.6,2,1.0,5,0.42000000000000004,0.385
BLOCKS,500,200,75,70.4,2,1.0,5,1.0,1.0
CONTEXT,500,200,75,71.1,2,1.0,5,0.8708333333333333,0.6333333333333333
HEPATITIS,500,200,75,74.5,2,1.0,5,0.8155510204081633,0.8271428571428572
PIONEER,500,200,75,73.2,2,1.0,5,1.0,0.9375
SKATING,500,200,75,74.1,2,1.0,5,0.9547169811320755,0.9509433962264151
//with smart shapelet appender
AUSLAN2,500,200,75,61.1,2,1.0,5,0.425,0.385
BLOCKS,500,200,75,60.4,2,1.0,5,1.0,1.0
CONTEXT,500,200,75,60.0,2,1.0,5,0.8833333333333334,0.6333333333333333
HEPATITIS,500,200,75,73.2,2,1.0,5,0.7893877551020408,0.8271428571428572
PIONEER,500,200,75,70.1,2,1.0,5,1.0,0.9375
SKATING,500,200,75,68.3,2,1.0,5,0.9528301886792454,0.9509433962264151

AUSLAN2,500,200,75,58.1,2,1.0,5,0.425,0.385,1.2246875E10,7.09375E8
BLOCKS,500,200,75,55.9,2,1.0,5,0.9952380952380953,1.0,9.1421875E9,2.5E8
CONTEXT,500,200,75,65.8,2,1.0,5,0.8666666666666666,0.6333333333333333,3.4525E10,1.2E9
