"Class","duration","earliestStart","majorityEvent","eventCount","activeDimensionCount","density","normalizedDensity","maxConcurrentEventCount","maxConcurrentEventDuration","normalizedMaxConcurrentEventDuration","summedPauseTime","normalizedSummedPauseTime","atLeastOneActiveTime","normalizedAtLeastOneActiveTime","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","distance_V1","distance_V2","distance_V3"
"1",45,1,77,45,43,1507,33.4888888888889,35,7,0.155555555555556,0,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,26.4386081328046,53.4696175411794,45.3762052181537
"2",59,1,28,51,47,2014,34.135593220339,35,11,0.186440677966102,0,0,59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,0,0,2,0,2,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,0,0,0,0,1,1,1,0,0,48.187135212627,43.5660418215839,50.5568986390582
"2",56,1,28,60,50,1863,33.2678571428571,35,7,0.125,0,0,56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,0,0,2,0,2,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,0,0,0,0,1,0,1,0,0,55.0908340833573,32.3882694814033,45.0222167379617
"2",49,1,20,46,41,1669,34.0612244897959,35,13,0.26530612244898,0,0,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,0,0,2,0,2,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,0,0,0,0,1,1,1,0,0,47.8016736108685,34.2782730020052,31.984371183439
"2",64,1,79,58,48,2146,33.53125,35,9,0.140625,0,0,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,0,0,2,0,2,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,0,0,0,0,1,1,1,0,0,48.5695377783236,35.2278299076171,34.7706773014274
"2",70,1,68,63,51,2376,33.9428571428571,35,11,0.157142857142857,0,0,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,0,0,2,0,2,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,0,0,0,0,1,1,1,0,0,45.287967496897,37.7756535350482,39.255572852781
"3",64,1,8,65,56,2164,33.8125,35,17,0.265625,0,0,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,2,1,1,0,0,1,2,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,54.018515344278,41.2553026894725,34.6410161513775
"2",65,1,7,64,50,2208,33.9692307692308,35,11,0.169230769230769,0,0,65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,0,0,2,0,2,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,43.6577599058861,48.1040538832228,47.8957200593122
"2",53,1,6,51,45,1798,33.9245283018868,35,10,0.188679245283019,0,0,53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,0,0,2,0,2,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,0,0,0,0,1,1,1,0,0,54.6717477313466,29.0688837074973,43.3243580448689
"2",55,1,12,52,46,1867,33.9454545454545,35,14,0.254545454545455,0,0,55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,0,0,2,0,2,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,0,0,0,0,1,1,1,0,0,43.1972221329104,46.8614980554399,44.226688774992
"1",39,1,64,43,41,1312,33.6410256410256,35,10,0.256410256410256,0,0,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,41.6653333119993,44.3846820423443,46.776062254106
"3",51,1,11,61,51,1714,33.6078431372549,35,8,0.156862745098039,0,0,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,1,1,0,0,1,2,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,47.9791621435806,42.142615011411,35.6370593624109
"2",65,1,28,47,43,2228,34.2769230769231,35,21,0.323076923076923,0,0,65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,0,0,2,0,2,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,0,0,0,0,1,1,1,0,0,54.3874985635486,0,40.9633982965281
"3",70,1,17,67,55,2343,33.4714285714286,35,10,0.142857142857143,0,0,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,2,1,1,0,0,1,2,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,46.8294778958724,46.8721665810319,37.7491721763537
"2",49,1,12,53,46,1653,33.734693877551,35,14,0.285714285714286,0,0,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,0,0,2,0,2,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,0,0,0,0,1,1,1,0,0,46.0434577328854,40.2243707222375,39.1152144312159
